gene_id,Stat3null_ESC_2iLIF_1,Stat3null_ESC_2iLIF_2,Stat3null_EpiSC_2,Stat3null_EpiSC_6,WT_ESC_2iLIF_1,WT_ESC_2iLIF_2,WT_ESC_2i_1,WT_ESC_2i_2,WT_EpiSC_13,WT_EpiSC_8
ENSMUSG00000051951.5|Xkr4,44,32,518,961,4,5,52,33,1384,1023
ENSMUSG00000095843.1|Gm26491,0,0,3,1,0,0,0,0,10,6
ENSMUSG00000096624.1|Mir467a-1,0,0,1,1,0,0,0,0,0,0
ENSMUSG00000095269.1|Mir466b-8,0,0,0,2,0,0,0,0,0,1
ENSMUSG00000096583.1|Mir669a-1,0,0,1,1,0,0,0,0,2,0
ENSMUSG00000080459.1|Mir669g,0,1,2,1,0,0,0,0,5,2
ENSMUSG00000095938.1|Gm25701,0,0,1,2,0,0,0,0,8,5
ENSMUSG00000095340.1|Mir669j,0,0,1,4,0,0,0,0,12,6
ENSMUSG00000096027.1|Mir467a-2,0,0,0,1,0,0,0,0,1,0
ENSMUSG00000104933.1|Mir466e,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000095336.1|Gm24315,0,0,0,5,0,0,0,0,2,10
ENSMUSG00000094190.1|Gm25451,0,0,2,5,0,0,0,0,2,4
ENSMUSG00000095509.1|Mir467b,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000104561.1|Mir466c-1,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000104734.1|Mir669a-5,0,0,2,3,0,0,0,0,3,2
ENSMUSG00000095198.1|Mir467a-3,0,0,1,1,0,0,0,0,1,2
ENSMUSG00000094659.1|Mir466c-2,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000105330.1|Mir669a-6,0,0,1,1,0,0,0,0,2,1
ENSMUSG00000096264.1|Gm23108,0,0,0,0,0,0,0,0,1,2
ENSMUSG00000096651.1|Gm25680,0,0,2,4,0,0,0,0,5,3
ENSMUSG00000094101.1|Gm22775,0,0,1,1,0,0,0,0,1,1
ENSMUSG00000096492.1|Mir467a-4,0,0,1,1,0,0,0,0,0,0
ENSMUSG00000096239.1|Mir466b-4,0,0,0,1,0,0,0,0,2,1
ENSMUSG00000106027.1|Mir669a-7,0,0,1,1,0,0,0,0,1,1
ENSMUSG00000094363.1|Gm26060,0,0,2,3,0,0,0,0,4,2
ENSMUSG00000095884.1|Gm26431,0,0,1,5,0,0,0,0,5,3
ENSMUSG00000094506.1|Gm26229,0,0,3,6,0,0,0,0,3,2
ENSMUSG00000094159.1|Mir467a-5,0,0,1,1,0,0,0,0,1,0
ENSMUSG00000096113.1|Mir466b-5,0,0,1,0,0,0,0,0,1,0
ENSMUSG00000096134.1|Mir669p-1,0,0,1,1,0,0,0,0,2,3
ENSMUSG00000096782.1|Gm24640,0,0,2,5,0,0,0,0,4,5
ENSMUSG00000096835.1|Gm23288,0,0,2,2,0,0,0,0,2,3
ENSMUSG00000096587.1|Mir467a-6,0,0,1,1,0,0,0,0,1,2
ENSMUSG00000095536.1|Gm25285,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000104652.1|Mir669a-8,0,0,1,1,0,0,0,0,1,1
ENSMUSG00000095786.1|Gm24673,0,0,1,0,0,0,0,0,1,2
ENSMUSG00000096748.1|Gm22635,0,0,2,4,0,0,0,0,5,3
ENSMUSG00000096880.1|Gm23569,0,0,2,3,0,0,0,0,8,9
ENSMUSG00000094688.1|Mir467a-7,0,0,1,1,0,0,0,0,1,0
ENSMUSG00000094261.1|Mir466b-6,0,0,1,1,0,0,0,0,1,1
ENSMUSG00000105182.1|Mir669a-9,0,0,1,1,0,0,0,0,1,0
ENSMUSG00000093995.1|Gm26426,0,0,2,3,0,0,0,0,2,1
ENSMUSG00000094709.1|Gm24488,0,0,1,4,0,0,0,0,2,2
ENSMUSG00000094067.1|Gm25158,0,0,3,7,0,0,0,0,3,2
ENSMUSG00000096512.1|Mir467a-8,0,0,1,1,0,0,0,0,2,0
ENSMUSG00000096360.1|Mir466b-7,0,0,4,0,0,0,0,0,2,0
ENSMUSG00000093900.1|Mir669p-2,0,0,3,1,0,0,0,0,3,2
ENSMUSG00000094457.1|Gm22626,0,0,3,3,0,0,0,0,3,4
ENSMUSG00000093914.1|Gm22166,0,0,2,4,0,0,0,0,2,5
ENSMUSG00000095222.1|Mir467a-9,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076966.2|Mir466b-2,0,0,0,1,0,0,0,0,1,2
ENSMUSG00000105365.1|Mir669a-10,0,0,0,1,0,0,0,0,1,0
ENSMUSG00000080649.1|Gm26156,0,0,0,2,0,0,0,0,4,2
ENSMUSG00000096889.1|Gm23571,0,0,0,2,0,0,0,0,2,0
ENSMUSG00000080476.1|Gm25316,0,0,0,3,0,0,0,0,1,2
ENSMUSG00000093907.1|Gm25022,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000096053.1|Gm25943,0,0,1,1,0,0,0,0,1,0
ENSMUSG00000080684.1|Gm23988,0,2,0,2,0,0,0,0,0,0
ENSMUSG00000095051.1|Gm25673,0,0,1,4,0,0,0,0,5,4
ENSMUSG00000094943.1|Gm25753,0,0,0,1,0,0,0,0,2,1
ENSMUSG00000096894.1|Mir467a-10,0,0,1,1,0,0,0,0,1,1
ENSMUSG00000076994.2|Mir466b-3,0,0,1,0,0,0,0,0,1,2
ENSMUSG00000105783.1|Mir669a-12,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000094327.1|Gm26398,0,0,0,1,0,0,0,0,2,3
ENSMUSG00000076948.2|Mir467e,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077113.2|Mir466p,0,0,0,0,0,0,0,0,2,4
ENSMUSG00000094330.1|Gm22051,0,0,0,1,0,0,0,0,2,0
ENSMUSG00000080624.1|Gm22678,0,0,0,3,0,0,2,0,1,2
ENSMUSG00000077021.2|Mir467d,0,0,0,1,0,0,0,0,0,1
ENSMUSG00000070099.1|Mir466,0,0,0,0,0,0,0,0,2,1
ENSMUSG00000080558.1|Gm22091,0,0,0,5,0,0,0,0,1,2
ENSMUSG00000076118.1|Mir669c,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000077095.1|Gm24342,0,0,0,2,0,0,0,0,0,2
ENSMUSG00000077104.1|Gm25263,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076014.1|Mir669a-2,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000092961.1|Gm22239,0,0,0,2,0,0,0,0,0,2
ENSMUSG00000092697.1|Gm22925,0,0,0,0,0,0,0,0,1,3
ENSMUSG00000088833.1|Gm23542,0,0,0,2,0,0,0,0,0,1
ENSMUSG00000076222.1|Mir297b,0,0,0,0,0,0,0,0,4,0
ENSMUSG00000078031.1|Mir466d,0,0,2,1,0,0,0,0,0,0
ENSMUSG00000095699.1|Gm26092,0,0,0,2,0,0,0,0,1,0
ENSMUSG00000089570.1|Mir669m-1,0,3,0,0,0,0,0,0,0,0
ENSMUSG00000088980.1|Mir669m-2,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000077086.1|Mir669o,0,0,0,0,0,0,0,0,2,2
ENSMUSG00000078025.1|Mir466g,0,0,0,2,0,0,0,0,0,3
ENSMUSG00000077941.1|Mir466h,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000076956.2|Mir297a-3,0,0,1,1,0,0,0,0,3,0
ENSMUSG00000078060.1|Mir466l,0,0,0,4,0,0,0,0,2,2
ENSMUSG00000077954.1|Mir297a-4,0,2,0,1,0,0,0,0,2,0
ENSMUSG00000080594.1|Mir669h,0,2,3,1,0,0,0,0,3,2
ENSMUSG00000086748.1|Gm13261,147,135,0,3,700,631,128,87,11,10
ENSMUSG00000077998.1|Mir466f-2,1,0,0,1,0,0,0,0,0,0
ENSMUSG00000106608.1|Mir466b-1,2,0,0,1,0,0,0,0,1,0
ENSMUSG00000105546.1|Mir669a-4,1,0,1,1,0,0,0,0,1,1
ENSMUSG00000094927.1|Gm24761,4,0,0,3,0,0,0,0,1,5
ENSMUSG00000080405.1|Gm23651,1,0,0,4,0,0,0,0,2,2
ENSMUSG00000094009.1|Gm24167,5,0,0,3,0,0,0,0,3,3
ENSMUSG00000095151.1|Gm24028,3,0,0,2,0,0,0,0,3,3
ENSMUSG00000106488.1|Mir669a-11,1,0,0,1,0,0,0,0,0,0
ENSMUSG00000076976.2|Mir297c,1,0,0,2,0,0,0,0,0,0
ENSMUSG00000077991.1|Mir466n,2,0,2,0,0,0,0,0,2,1
ENSMUSG00000080686.1|Gm24806,3,2,1,1,0,0,0,0,4,0
ENSMUSG00000080657.1|Mir669i,2,2,0,3,0,0,0,0,2,0
ENSMUSG00000082871.2|Gm13263,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000083900.2|Gm13294,6,3,249,489,24,41,6,10,608,433
ENSMUSG00000026778.13|Prkcq,27,9,1,15,27,3,15,33,9,4
ENSMUSG00000103253.1|Gm37520,0,3,0,0,0,3,0,0,4,0
ENSMUSG00000102992.1|Gm37766,0,0,0,0,0,0,3,0,0,0
ENSMUSG00000103774.1|Gm36932,7,0,0,0,0,0,0,0,0,0
ENSMUSG00000102674.1|8030442B05Rik,0,0,4,0,0,0,0,0,0,0
ENSMUSG00000086006.2|Gm13293,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103321.1|4933403L11Rik,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086491.1|Gm13291,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103223.1|Gm37730,9,0,0,0,0,0,0,0,0,0
ENSMUSG00000082314.2|Gm13296,0,0,0,0,10,0,0,0,0,0
ENSMUSG00000082424.4|Gm13292,5070,4269,2926,4297,6026,5978,5152,5326,3463,3291
ENSMUSG00000026773.19|Pfkfb3,1628,1523,1941,3327,1580,1838,1781,1836,4040,3684
ENSMUSG00000102329.1|Gm10851,0,0,5,0,0,10,0,0,0,4
ENSMUSG00000102376.1|Gm37975,0,7,0,4,4,4,8,5,9,6
ENSMUSG00000037197.11|Rbm17,10371,8976,4332,5751,9878,10049,10070,9558,8210,6588
ENSMUSG00000023206.16|Il15ra,59,80,7,19,5,0,120,67,76,61
ENSMUSG00000058594.15|Fbxo18,2928,3256,2696,4079,4748,5251,3090,3295,5586,4437
ENSMUSG00000047909.11|Ankrd16,1372,1332,971,1448,885,1003,1306,361,2402,1275
ENSMUSG00000080801.2|Gm13310,2,0,28,10,0,0,0,0,15,20
ENSMUSG00000026768.10|Itga8,95,61,132,140,99,72,109,140,462,230
ENSMUSG00000086843.3|E030013I19Rik,0,2,0,4,2,0,12,3,5,4
ENSMUSG00000104174.1|Gm37701,1,4,0,2,0,0,0,0,9,3
ENSMUSG00000026767.12|Fam188a,1667,1665,1682,2419,3603,3248,1770,1924,3873,2606
ENSMUSG00000102630.1|Gm37289,0,0,3,11,0,0,13,0,16,16
ENSMUSG00000104406.1|Gm38014,0,0,51,37,0,0,0,3,128,59
ENSMUSG00000104449.1|Gm37255,4,8,31,30,4,4,0,0,50,21
ENSMUSG00000026730.12|Pter,289,287,613,813,87,265,426,559,1139,905
ENSMUSG00000049630.6|C1ql3,0,0,21,41,0,0,10,0,37,19
ENSMUSG00000104459.1|Gm37824,8,0,21,42,4,12,14,14,34,11
ENSMUSG00000102900.1|Gm37811,12,0,3,6,17,0,6,9,4,1
ENSMUSG00000026727.10|Rsu1,3433,2766,1302,1909,2384,1999,3349,3518,3379,2445
ENSMUSG00000103360.1|Gm38156,0,0,0,21,0,0,0,0,19,7
ENSMUSG00000099246.1|Gm27540,0,0,0,2,0,0,0,0,10,9
ENSMUSG00000102691.1|Gm37780,11,24,25,50,19,16,10,15,47,50
ENSMUSG00000103232.1|Gm37160,8,0,20,8,0,0,4,0,30,6
ENSMUSG00000086358.2|Gm13270,8,4,14,20,10,2,2,19,52,42
ENSMUSG00000026726.10|Cubn,14,17,25,33,58,12,22,11,106,26
ENSMUSG00000026723.10|Trdmt1,339,421,929,1314,874,874,407,344,1855,1461
ENSMUSG00000026728.9|Vim,12030,8933,7565,14019,6957,6557,20611,22936,36487,26853
ENSMUSG00000003418.11|St8sia6,258,379,83,181,745,897,411,364,179,230
ENSMUSG00000104354.1|Gm37126,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000063275.15|Hacd1,375,428,732,977,193,359,465,469,1490,1388
ENSMUSG00000102553.1|D930036K23Rik,0,12,87,101,0,4,0,11,158,106
ENSMUSG00000103926.1|Gm37894,0,2,66,71,4,0,0,3,112,99
ENSMUSG00000086657.2|Stamos,13,8,32,30,2,16,21,14,57,91
ENSMUSG00000026718.17|Stam,3731,3991,3058,4789,3200,3579,3013,2748,7021,4753
ENSMUSG00000103901.1|Gm37499,8,45,199,267,53,31,9,11,539,273
ENSMUSG00000061531.8|Tmem236,18,0,17,12,4,0,0,0,38,24
ENSMUSG00000083545.2|Gm13320,1,1,4,7,3,1,3,2,6,7
ENSMUSG00000077897.1|Mir511,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026712.3|Mrc1,84,63,12,17,99,199,35,50,71,22
ENSMUSG00000103475.1|Gm37697,1,6,287,391,3,2,11,2,556,369
ENSMUSG00000057914.15|Cacnb2,68,71,3097,4364,22,10,37,28,5036,4714
ENSMUSG00000075525.3|Gm10849,0,5,0,0,0,0,0,0,0,0
ENSMUSG00000104153.1|Gm38105,0,0,102,162,0,0,0,0,308,151
ENSMUSG00000083633.2|Gm13312,0,0,8,15,0,0,0,0,21,3
ENSMUSG00000104034.1|2900092N22Rik,0,0,55,96,0,0,0,0,130,75
ENSMUSG00000081008.2|Gm13314,0,0,16,28,0,0,0,0,36,11
ENSMUSG00000082542.2|Gm13311,0,0,8,23,0,0,0,0,25,13
ENSMUSG00000104106.1|Gm10848,0,0,30,34,0,0,0,0,66,27
ENSMUSG00000103885.1|Gm37006,0,0,43,68,0,0,0,0,54,45
ENSMUSG00000083305.2|Gm13315,0,0,7,14,0,0,0,0,7,4
ENSMUSG00000103050.1|Gm38273,0,0,58,63,0,0,0,0,69,63
ENSMUSG00000087086.7|Gm13269,0,0,22,10,0,0,0,0,12,4
ENSMUSG00000102673.1|Gm37437,0,0,24,34,0,0,0,0,32,28
ENSMUSG00000104271.1|Gm37891,0,0,43,60,0,0,0,0,113,67
ENSMUSG00000026707.15|Nsun6,263,380,624,731,680,590,314,237,1204,917
ENSMUSG00000017418.13|Arl5b,1730,2480,10217,14500,2504,3232,1847,1983,24443,17433
ENSMUSG00000070271.7|Gm13268,33,39,38,56,25,34,10,24,61,32
ENSMUSG00000085281.3|Gm13316,507,519,190,228,429,508,429,591,343,239
ENSMUSG00000103778.1|Gm36930,13,0,21,20,2,0,0,0,79,31
ENSMUSG00000102258.1|Gm38257,12,13,247,256,3,3,0,0,453,293
ENSMUSG00000083860.2|Gm13313,2,2,0,2,0,5,0,2,3,0
ENSMUSG00000103356.1|Gm37595,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081245.2|Gm6587,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000075520.5|Malrd1,3,0,12,3,3,7,5,0,9,19
ENSMUSG00000103865.1|Gm37416,16,16,68,15,8,19,44,38,16,50
ENSMUSG00000026748.13|Plxdc2,805,778,3570,3956,89,94,1130,1094,6965,4571
ENSMUSG00000053702.16|Nebl,39,55,38,64,22,39,31,15,119,134
ENSMUSG00000085100.1|Gm13324,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099161.1|Mir6419,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000062651.4|H2afb1,8,0,0,0,0,2,0,0,3,0
ENSMUSG00000054057.2|A930004D18Rik,404,397,323,601,651,661,677,477,731,594
ENSMUSG00000085319.1|Gm13330,0,0,0,7,3,7,2,0,4,5
ENSMUSG00000054074.9|Skida1,155,135,75,2117,175,324,257,36,2331,35
ENSMUSG00000086340.1|1810059C17Rik,0,0,8,18,4,0,0,0,29,15
ENSMUSG00000026743.16|Mllt10,5372,6756,6256,11068,8275,8560,5339,4641,11842,10156
ENSMUSG00000099050.1|Mir7655,0,2,7,9,2,0,1,3,26,8
ENSMUSG00000092814.1|Gm23638,0,1,1,3,1,0,0,0,3,2
ENSMUSG00000064964.1|Gm25147,0,0,3,10,0,0,0,0,21,10
ENSMUSG00000081619.1|Gm13351,0,11,58,118,0,0,0,0,172,86
ENSMUSG00000026740.12|Dnajc1,1002,817,860,2462,1027,1174,772,788,3518,2975
ENSMUSG00000082520.2|Gm13349,0,0,0,0,2,0,4,0,5,4
ENSMUSG00000083070.2|Gm13350,8,4,0,6,4,0,0,0,8,1
ENSMUSG00000051154.11|Commd3,918,909,665,1082,1406,1126,1315,1325,2000,1295
ENSMUSG00000026739.13|Bmi1,746,702,477,788,2123,2139,741,836,1191,751
ENSMUSG00000037708.16|Spag6,24,0,0,4,4,0,6,0,0,0
ENSMUSG00000092353.1|Gm20539,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081139.1|Gm13333,4,4,0,0,0,10,0,0,0,0
ENSMUSG00000026737.12|Pip4k2a,537,544,871,1007,997,977,581,669,1482,1414
ENSMUSG00000026736.1|4930426L09Rik,11,0,4,0,0,0,1,5,16,11
ENSMUSG00000037683.14|Armc3,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023094.14|Msrb2,678,635,69,71,683,694,836,769,64,131
ENSMUSG00000085388.1|Ptf1aos,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026735.2|Ptf1a,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043415.5|Otud1,1278,1214,196,270,1006,696,1716,1321,362,296
ENSMUSG00000065644.1|Gm25859,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000083777.1|Gm13361,0,0,2,0,4,0,0,0,0,1
ENSMUSG00000082164.1|Gm13360,0,11,0,0,2,0,9,0,0,0
ENSMUSG00000065253.1|Gm23970,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000036617.16|Etl4,6681,7868,4761,7976,8215,9483,8966,8349,13029,7142
ENSMUSG00000091457.1|Gm17171,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098575.1|Gm27446,0,0,3,8,3,0,0,0,10,3
ENSMUSG00000086418.1|Gm13362,0,0,8,5,2,0,0,0,17,9
ENSMUSG00000060795.5|Gm13363,9,35,43,49,36,27,39,23,96,68
ENSMUSG00000081128.1|Gm13328,58,59,25,20,58,61,80,80,20,18
ENSMUSG00000085477.7|Gm13335,4,2,3,2,10,1,6,6,3,3
ENSMUSG00000036591.15|Arhgap21,6038,7001,16208,15764,4486,4921,6743,6429,22331,16098
ENSMUSG00000085206.1|Gm13380,2,0,7,10,0,0,0,0,9,12
ENSMUSG00000075514.4|Gm13375,56,103,372,254,167,129,224,73,360,278
ENSMUSG00000026679.3|Enkur,37,7,164,0,0,0,4,0,10,25
ENSMUSG00000089576.1|Gm23007,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000048550.17|Thnsl1,417,401,3865,1993,828,996,381,438,2500,1990
ENSMUSG00000084071.1|Gm13378,17,30,88,119,10,23,37,56,185,112
ENSMUSG00000045967.11|Gpr158,12,0,0,10,0,0,0,0,6,14
ENSMUSG00000080846.1|Gm13379,0,0,1,0,0,0,3,0,6,1
ENSMUSG00000077572.1|Gm24886,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085680.1|Gm13327,4,0,0,0,0,0,0,0,0,0
ENSMUSG00000081467.1|Gm13337,64,78,26,33,5,14,0,3,29,77
ENSMUSG00000025716.14|Myo3a,2,0,55,114,4,0,8,0,183,484
ENSMUSG00000082516.1|Gm13342,5,8,5,7,8,13,3,7,13,12
ENSMUSG00000083863.1|Gm13341,434,446,227,183,467,399,801,1055,409,176
ENSMUSG00000083563.1|Gm13340,409,325,659,474,524,462,412,470,1172,683
ENSMUSG00000082884.1|Gm13339,7,8,147,81,7,0,11,3,142,77
ENSMUSG00000026787.3|Gad2,49,21,219,540,14,27,9,28,960,2767
ENSMUSG00000106199.1|Mir3967,0,0,1,2,0,0,0,0,5,10
ENSMUSG00000092811.1|Gm23636,0,0,0,0,0,0,0,0,4,8
ENSMUSG00000026786.14|Apbb1ip,36,34,0,0,9,8,20,12,0,0
ENSMUSG00000026784.14|Pdss1,1266,1251,808,1114,1473,1388,1350,1158,1594,1082
ENSMUSG00000084625.1|Gm25544,0,0,8,11,2,0,0,0,15,4
ENSMUSG00000081861.1|Gm14441,0,4,34,35,0,0,6,0,99,50
ENSMUSG00000058835.14|Abi1,4229,4487,3794,5917,5188,5452,3949,3805,8550,6316
ENSMUSG00000083650.1|Gm13357,0,0,9,11,0,0,0,0,38,12
ENSMUSG00000069136.4|A130006I12Rik,6,10,10,8,3,6,10,4,14,3
ENSMUSG00000026781.15|Acbd5,1476,1556,1009,1791,914,1172,1426,1419,2516,1834
ENSMUSG00000026779.6|Mastl,2278,2983,3727,5528,2859,2879,1965,1907,7845,5422
ENSMUSG00000026775.9|Yme1l1,10140,12256,10648,16708,13162,12846,9456,9057,22572,17679
ENSMUSG00000081648.1|Gm13423,23,0,5,4,11,0,0,11,15,1
ENSMUSG00000026774.11|4931423N10Rik,9,6,0,6,0,0,0,0,20,0
ENSMUSG00000084098.1|Gm13422,26,23,84,111,20,15,21,37,143,120
ENSMUSG00000069132.3|Nxph2,5,0,3,0,0,0,0,0,0,0
ENSMUSG00000081519.1|Gm13331,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026771.14|Spopl,2104,2360,2332,3196,2666,2804,2734,2359,4872,3517
ENSMUSG00000083373.1|Gm13392,1,4,4,2,3,1,1,1,1,3
ENSMUSG00000083116.1|Gm13410,40,104,196,206,47,58,41,105,373,200
ENSMUSG00000044103.4|Il1f9,5,0,0,0,0,0,0,0,0,0
ENSMUSG00000104173.1|Gm37703,8,0,0,0,3,0,0,0,0,0
ENSMUSG00000085999.1|Gm13411,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026981.15|Il1rn,2,0,0,2,0,0,0,0,3,12
ENSMUSG00000026979.16|Psd4,286,329,0,13,150,171,241,239,10,14
ENSMUSG00000026976.15|Pax8,42,8,13,11,18,25,0,17,25,0
ENSMUSG00000085057.7|Gm13415,0,0,0,2,1,0,0,0,0,2
ENSMUSG00000099120.1|Gm27193,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000102591.1|Gm38383,5,0,7,11,0,0,0,0,1,0
ENSMUSG00000084241.1|Gm13416,18,14,39,40,10,6,16,19,58,31
ENSMUSG00000004113.18|Cacna1b,635,592,2617,2420,38,91,405,438,3591,2525
ENSMUSG00000083973.1|Gm13459,6,0,10,15,4,0,0,0,17,10
ENSMUSG00000036893.17|Ehmt1,6205,7239,7933,11209,4429,4980,5661,6089,14014,11206
ENSMUSG00000103162.1|Gm38147,0,0,118,178,6,0,0,0,345,171
ENSMUSG00000102875.1|Gm37139,7,8,165,208,0,0,4,4,532,242
ENSMUSG00000026972.15|Arrdc1,1271,1062,394,616,739,619,974,871,796,416
ENSMUSG00000026975.10|Dph7,1394,1284,591,910,1580,1636,1196,1058,1161,849
ENSMUSG00000026974.11|Zmynd19,7308,6948,4429,6395,7791,8636,6940,7285,8016,5896
ENSMUSG00000036833.16|Pnpla7,1297,1712,522,779,813,759,1191,1091,970,662
ENSMUSG00000065798.1|Gm25518,0,1,1,0,0,0,0,2,0,0
ENSMUSG00000089513.1|Gm24875,0,0,5,0,1,0,0,0,3,3
ENSMUSG00000036850.4|Mrpl41,1381,1306,699,1016,902,1002,1257,1465,1321,1237
ENSMUSG00000084383.1|Gm13370,6874,5182,5075,6911,4985,4978,5112,4561,9242,8142
ENSMUSG00000083796.3|Gm13369,11,0,6,6,1,1,0,1,31,17
ENSMUSG00000006476.19|Nsmf,353,309,1020,1499,186,140,352,299,2061,1866
ENSMUSG00000092845.1|Gm24328,0,0,5,2,0,0,0,0,2,4
ENSMUSG00000099320.1|Mir7664,0,0,1,2,1,0,0,0,5,7
ENSMUSG00000036813.11|Entpd8,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000036805.13|Noxa1,5,0,0,3,0,0,15,0,0,0
ENSMUSG00000087028.7|Gm13387,14,4,3,10,22,8,6,0,16,0
ENSMUSG00000103217.1|Gm38287,0,0,0,10,0,0,0,0,0,0
ENSMUSG00000078202.3|Nrarp,719,413,974,1357,545,640,622,678,2216,2050
ENSMUSG00000059555.6|Tor4a,367,473,282,297,384,348,437,672,762,382
ENSMUSG00000013465.18|Nelfb,4206,4272,2358,3794,5142,5387,4663,4892,4790,4138
ENSMUSG00000064919.1|Gm22572,5,4,4,6,1,8,2,5,4,3
ENSMUSG00000036770.11|4933433C11Rik,50,22,6,7,50,33,15,29,21,13
ENSMUSG00000026969.3|Fam166a,33,10,73,102,19,10,5,0,212,97
ENSMUSG00000036752.4|Tubb4b,51545,48317,32730,47500,19167,17023,48073,51274,67586,52761
ENSMUSG00000006469.13|Slc34a3,62,52,0,8,111,131,46,67,12,9
ENSMUSG00000089953.3|Rnf224,5,4,10,6,26,16,0,7,4,0
ENSMUSG00000036731.7|Cysrt1,0,3,3,3,9,0,2,3,4,14
ENSMUSG00000044628.4|Rnf208,612,778,402,758,767,809,541,677,699,616
ENSMUSG00000006471.17|Ndor1,2486,3268,2623,3973,2264,2914,3798,2390,5788,3494
ENSMUSG00000078201.5|Tmem203,349,226,87,171,427,439,286,317,247,194
ENSMUSG00000048707.9|Tprn,2821,2968,829,1026,1818,1815,2439,2666,1529,1161
ENSMUSG00000026965.12|Anapc2,6843,7492,3349,5229,4398,4202,8070,8629,6870,5445
ENSMUSG00000026966.6|Ssna1,2161,1945,709,893,2467,2718,2099,2340,1115,1029
ENSMUSG00000026963.4|Tmem210,0,0,0,5,0,0,0,3,0,8
ENSMUSG00000026961.6|Lrrc26,0,0,24,19,0,0,6,0,17,15
ENSMUSG00000026959.13|Grin1,87,88,398,999,156,150,522,464,378,657
ENSMUSG00000085830.1|Grin1os,0,13,0,17,44,32,39,6,0,14
ENSMUSG00000036646.13|Man1b1,4423,4695,3287,4668,5220,5406,5236,4675,7250,4997
ENSMUSG00000026958.13|Dpp7,3315,1853,414,465,3794,1633,1947,1083,597,728
ENSMUSG00000026956.15|Uap1l1,2799,1703,648,1125,3683,3569,3161,3508,1408,1224
ENSMUSG00000097345.1|AA543186,25,14,22,25,15,13,0,5,27,39
ENSMUSG00000088171.1|Gm25220,1,1,3,2,3,0,0,2,3,5
ENSMUSG00000026955.13|Sapcd2,1446,1305,1571,2700,1864,2558,1502,1574,2613,2210
ENSMUSG00000015085.8|Entpd2,81,104,98,116,75,112,175,95,164,69
ENSMUSG00000015094.16|Npdc1,1326,1296,1334,1855,1459,1501,1658,1573,2489,2233
ENSMUSG00000026944.18|Abca2,1588,1523,5181,7610,1250,1392,1953,1823,9887,8926
ENSMUSG00000104741.1|Mir3087,0,0,0,1,0,2,1,0,0,0
ENSMUSG00000047617.11|BC029214,69,49,76,104,131,210,57,52,166,119
ENSMUSG00000015093.15|Clic3,0,12,29,12,0,4,0,6,41,27
ENSMUSG00000015090.13|Ptgds,8,0,0,8,37,33,34,17,26,7
ENSMUSG00000015083.11|C8g,57,68,137,207,101,157,78,69,272,218
ENSMUSG00000015095.12|Fbxw5,1474,1312,1472,1959,1673,1918,1311,1634,2400,2091
ENSMUSG00000083043.1|Gm13433,0,0,11,42,3,0,0,0,52,12
ENSMUSG00000026942.13|Traf2,1293,1116,974,1348,1652,1569,1117,1139,1632,1308
ENSMUSG00000015092.9|Edf1,7096,6226,1191,1422,5985,5731,7437,7374,2039,1819
ENSMUSG00000026941.16|Mamdc4,139,148,544,582,78,70,151,87,1041,693
ENSMUSG00000029419.8|Gm996,71,33,66,39,79,108,109,69,185,101
ENSMUSG00000097872.1|Gm26702,0,0,0,0,0,0,0,0,0,0
